EggLocationSeasonId,EggLocationId,SeasonId
1,1,1
2,1,2
3,1,3
4,1,4
5,2,1
6,2,2
7,2,3
8,2,4
9,3,1
10,3,2
11,3,3
12,3,4
13,4,1
14,4,2
15,4,3
16,4,4
17,5,1
18,5,2
19,5,3
20,5,4
21,6,1
22,6,2
23,6,3
24,6,4
25,7,4
26,8,1
27,8,2
28,8,3
29,8,4
30,9,1
31,9,2
32,9,3
33,9,4
34,10,1
35,10,2
36,10,3
37,10,4
38,11,1
39,12,1
40,12,2
41,12,3
42,12,4
43,13,1
44,13,2
45,13,3
46,13,4
47,14,1
48,14,2
49,14,3
50,14,4
51,15,1
52,15,2
53,15,3
54,15,4
55,16,4
56,17,4
57,18,1
58,18,2
59,18,3
60,18,4
61,19,1
62,19,2
63,19,3
64,19,4
65,20,1
66,20,2
67,20,3
68,20,4
69,21,1
70,21,2
71,21,3
72,21,4
73,22,1
74,22,2
75,22,3
76,22,4
77,23,1
78,23,2
79,23,3
80,23,4
81,24,1
82,24,2
83,24,3
84,24,4
85,25,1
86,25,2
87,25,3
88,25,4
89,26,1
90,26,2
91,26,3
92,26,4
93,27,1
94,27,2
95,27,3
96,27,4
97,28,1
98,28,2
99,28,3
100,28,4
101,29,1
102,29,2
103,29,3
104,29,4
105,30,1
106,30,2
107,30,3
108,30,4
109,31,1
110,31,2
111,31,3
112,31,4
113,32,1
114,33,1
115,34,1
116,34,2
117,34,3
118,34,4
119,35,1
120,35,2
121,35,3
122,35,4
123,36,1
124,36,2
125,36,3
126,36,4
127,37,1
128,37,2
129,37,3
130,37,4
131,38,1
132,38,2
133,38,3
134,38,4
135,39,1
136,39,2
137,39,3
138,39,4
139,40,1
140,40,2
141,40,3
142,40,4
143,41,1
144,41,2
145,41,3
146,41,4
147,42,1
148,42,2
149,42,3
150,42,4
151,43,1
152,43,2
153,43,3
154,43,4
155,44,1
156,44,2
157,44,3
158,44,4
159,45,1
160,45,2
161,45,3
162,45,4
163,46,1
164,46,2
