ItemId,Name,Identifier,JapaneseName,Description,ItemTypeId,BuyPrice,SellPrice,HPBonus,MPBonus,AttackBonus,DefenceBonus,AgilityBonus,WisdomBonus,Notes
93,Aerofoil Amulet,aerofoil-amulet,,Slightly increases defence and improves resistance to wind (Woosh Ward trait).,5,1500,150,,,,10,,,
194,Aerofoil Amulet+,aerofoil-amulet-plus,,"(Defence +10, Woosh Ward.) (Agility +10)",5,,,,,,10,10,,
227,Aerofoil Armband,aerofoil-armband,,"(Attack +40, Crafty Woosher.)",5,,,,,40,,,,
228,Aerofoil Armband+,aerofoil-armband-plus,,"(Attack +40, Crafty Woosher.) (Attack +10)",5,,,,,50,,,,
94,Aerofoil Belt,aerofoil-belt,,Slightly increases attack and adds effects of the Crafty Woosher trait.,5,1500,150,,,10,,,,
226,Aerofoil Belt+,aerofoil-belt-plus,,"(Attack +10, Crafty Woosher.) (Attack +10)",5,,,,,20,,,,
195,Aerofoil Earrings,aerofoil-earrings,,"(Defence +40, Woosh Ward.)",5,,,,,,40,,,
196,Aerofoil Earrings+,aerofoil-earrings-plus,,"(Defence +40, Woosh Ward.) (Agility +10)",5,,,,,,40,10,,
116,Agility Ring,agility-ring,,(Agility +60.),5,,,,,,,60,,
117,Agility Ring+,agility-ring-plus,,(Agility +60.) (Agility +10),5,,,,,,,70,,
46,Alarming Amulet,alarming-amulet,,Slightly increase defence (+10) and improves resistance to sleep (Insomniac trait).,5,2000,200,,,,10,,,
171,Alarming Amulet+,alarming-amulet-plus,,"(Defence +10, Insomniac.) (Wisdom +10)",5,,,,,,10,,10,
216,All-Weather Earrings,all-weather-earrings,,"(Defence +10, Crack/Woosh Ward.)",5,,,,,,10,,,
217,All-Weather Earrings+,all-weather-earrings-plus,,"(Defence +10, Crack/Woosh Ward.) (Defence +10)",5,,,,,,20,,,
45,Amulet of Clarity,amulet-of-clarity,,Slightly increases defence (+10) and improves resistance to confusion (Clear Thinker trait).,5,2000,200,,,,10,,,
165,Amulet of Clarity+,amulet-of-clarity-plus,,"(Defence +10, Clear Thinker.) (Wisdom +10)",5,,,,,,10,,10,
36,Amulet of Immunity,amulet-of-immunity,,Slightly increases defence (+10) and improves resistance to poison (Antioxidant trait).,5,2000,200,,,,10,,,
178,Amulet of Immunity+,amulet-of-immunity-plus,,"(Defence +10, Antitoxidant.) (Attack +10)",5,,,,,10,10,,,
174,Amulet of Vigor,amulet-of-vigor,,"(Defence +10, Granite Chin.)",5,,,,,,10,,,
