ItemTraitId,ItemId,TraitId
86,160,40
87,161,40
23,65,49
10,66,49
137,149,49
75,150,49
19,67,50
108,151,50
99,152,50
100,153,50
26,44,51
143,162,51
52,163,51
53,164,51
3,36,185
49,178,185
117,179,185
118,180,185
132,186,185
135,187,185
29,88,188
50,174,188
51,175,188
119,176,188
120,177,188
111,184,188
112,185,188
2,45,189
101,146,189
48,165,189
115,166,189
116,167,189
109,184,189
114,185,189
1,46,191
43,171,191
121,172,191
122,173,191
110,184,191
113,185,191
33,92,193
91,168,193
92,169,193
93,170,193
131,186,193
136,187,193
11,47,195
88,181,195
89,182,195
90,183,195
133,186,195
134,187,195
4,55,244
16,83,244
54,202,244
58,203,244
59,204,244
44,216,244
47,217,244
5,60,245
81,230,245
82,231,245
57,235,245
55,236,245
56,237,245
6,48,246
17,83,246
60,188,246
64,189,246
65,190,246
76,214,246
79,215,246
7,50,247
9,52,247
15,83,247
70,200,247
74,201,247
8,59,248
73,232,248
71,233,248
72,234,248
12,56,249
22,57,249
94,211,249
97,212,249
98,213,249
129,220,249
13,61,250
14,62,250
95,244,250
96,245,250
18,54,251
102,208,251
106,209,251
107,210,251
66,218,251
69,219,251
20,53,252
123,205,252
127,206,252
128,207,252
67,218,252
68,219,252
24,49,253
21,57,253
138,191,253
141,192,253
142,193,253
130,220,253
25,58,254
36,95,254
140,224,254
139,225,254
27,84,255
63,221,255
61,222,255
62,223,255
28,86,256
105,241,256
103,242,256
104,243,256
30,89,257
80,197,257
84,198,257
85,199,257
77,214,257
78,215,257
31,90,258
83,229,258
32,91,259
126,238,259
124,239,259
125,240,259
34,93,260
37,194,260
41,195,260
42,196,260
45,216,260
46,217,260
35,94,261
40,226,261
38,227,261
39,228,261
