MetalSlimeLocationSeasonId,MetalSlimeLocationId,SeasonId
625,157,1
626,157,2
627,157,3
628,157,4
629,158,1
630,158,2
631,158,3
632,158,4
633,159,1
634,159,2
635,159,3
636,159,4
637,160,1
638,160,2
639,160,3
640,160,4
641,161,1
642,161,2
643,161,3
644,161,4
645,162,1
646,162,2
647,162,3
648,162,4
649,163,1
650,163,2
651,163,3
652,163,4
653,164,1
654,164,2
655,164,3
656,164,4
657,165,1
658,165,2
659,165,3
660,165,4
661,166,1
662,166,2
663,166,3
664,166,4
665,167,1
666,167,2
667,167,3
668,167,4
669,168,1
670,168,2
671,168,3
672,168,4
673,169,1
674,169,2
675,169,3
676,169,4
677,170,1
678,170,2
679,170,3
680,170,4
681,171,1
682,171,2
683,171,3
684,171,4
685,172,1
686,172,2
687,172,3
688,172,4
689,173,1
690,173,2
691,173,3
692,173,4
693,174,1
694,174,2
695,174,3
696,174,4
697,175,1
698,175,2
699,175,3
700,175,4
701,176,1
702,176,2
703,176,3
704,176,4
705,177,1
706,177,2
707,177,3
708,177,4
709,178,1
710,178,2
711,178,3
712,178,4
713,179,1
714,179,2
715,179,3
716,179,4
717,180,1
718,180,2
719,180,3
720,180,4
721,181,1
722,181,2
723,181,3
724,181,4
725,182,1
726,182,2
727,182,3
728,182,4
729,183,1
730,183,2
731,183,3
732,183,4
733,184,1
734,184,2
735,184,3
736,184,4
737,185,1
738,185,2
739,185,3
740,185,4
741,186,1
742,186,2
743,186,3
744,186,4
745,187,1
746,187,2
747,187,3
748,187,4
749,188,1
750,188,2
751,188,3
752,188,4
753,189,1
754,189,2
755,189,3
756,189,4
757,190,1
758,190,2
759,190,3
760,190,4
761,191,1
762,191,2
763,191,3
764,191,4
765,192,1
766,192,2
767,192,3
768,192,4
769,193,1
770,193,2
771,193,3
772,193,4
773,194,1
774,194,2
775,194,3
776,194,4
777,195,1
778,195,2
779,195,3
780,195,4
781,196,1
782,196,2
783,196,3
784,196,4
785,197,1
786,197,2
787,197,3
788,197,4
789,198,1
790,198,2
791,198,3
792,198,4
793,199,1
794,199,2
795,199,3
796,199,4
797,200,1
798,200,2
799,200,3
800,200,4
801,201,1
802,201,2
803,201,3
804,201,4
805,202,1
806,202,2
807,202,3
808,202,4
809,203,1
810,203,2
811,203,3
812,203,4
813,204,1
814,204,2
815,204,3
816,204,4
817,205,1
818,205,2
819,205,3
820,205,4
821,206,1
822,206,2
823,206,3
824,206,4
825,207,1
826,207,2
827,207,3
828,207,4
829,208,1
830,208,2
831,208,3
832,208,4
833,209,1
834,209,2
835,209,3
836,209,4
837,210,1
838,210,2
839,210,3
840,210,4
841,211,1
842,211,2
843,211,3
844,211,4
845,212,1
846,212,2
847,212,3
848,212,4
849,213,1
850,213,2
851,213,3
852,213,4
853,214,1
854,214,2
855,214,3
856,214,4
857,215,1
858,215,2
859,215,3
860,215,4
861,216,1
862,216,2
863,216,3
864,216,4
865,217,1
866,217,2
867,217,3
868,217,4
869,218,1
870,218,2
871,218,3
872,218,4
873,219,1
874,219,2
875,219,3
876,219,4
877,220,1
878,220,2
879,220,3
880,220,4
881,221,1
882,221,2
883,221,3
884,221,4
885,222,1
886,222,2
887,222,3
888,222,4
889,223,1
890,223,2
891,223,3
892,223,4
893,224,1
894,224,2
895,224,3
896,224,4
897,225,1
898,225,2
899,225,3
900,225,4
901,226,1
902,226,2
903,226,3
904,226,4
905,227,1
906,227,2
907,227,3
908,227,4
909,228,1
910,228,2
911,228,3
912,228,4
913,229,1
914,229,2
915,229,3
916,229,4
917,230,1
918,230,2
919,230,3
920,230,4
921,231,1
922,231,2
923,231,3
924,231,4
925,232,1
926,232,2
927,232,3
928,232,4
929,233,1
930,233,2
931,233,3
932,233,4
933,234,1
934,234,2
935,234,3
936,234,4
937,235,1
938,235,2
939,235,3
940,235,4
941,236,1
942,236,2
943,236,3
944,236,4
945,237,1
946,237,2
947,237,3
948,237,4
949,238,1
950,238,2
951,238,3
952,238,4
953,239,1
954,239,2
955,239,3
956,239,4
957,240,1
958,240,2
959,240,3
960,240,4
961,241,1
962,241,2
963,241,3
964,241,4
965,242,1
966,242,2
967,242,3
968,242,4
969,243,1
970,243,2
971,243,3
972,243,4
973,244,1
974,244,2
975,244,3
976,244,4
977,245,1
978,245,2
979,245,3
980,245,4
981,246,1
982,246,2
983,246,3
984,246,4
985,247,1
986,247,2
987,247,3
988,247,4
989,248,1
990,248,2
991,248,3
992,248,4
993,249,1
994,249,2
995,249,3
996,249,4
997,250,1
998,250,2
999,250,3
1000,250,4
1001,251,1
1002,251,2
1003,251,3
1004,251,4
1005,252,1
1006,252,2
1007,252,3
1008,252,4
1009,253,1
1010,253,2
1011,253,3
1012,253,4
