MonsterResistanceId,MonsterId,DamageTypeId,Value
19,101,1,0
20,101,2,50
21,101,3,0
22,101,4,-25
23,101,5,50
24,101,6,0
25,101,7,50
26,101,8,50
27,101,9,-25
28,101,10,25
29,101,11,50
30,101,12,0
31,101,13,-25
32,101,14,25
33,101,15,0
34,101,16,50
35,101,17,0
36,101,18,25
37,101,19,0
38,102,1,0
39,102,2,0
40,102,3,75
41,102,4,-25
42,102,5,50
43,102,6,0
44,102,7,50
45,102,8,25
46,102,9,-25
47,102,10,0
48,102,11,50
49,102,12,25
50,102,13,-25
51,102,14,0
52,102,15,0
53,102,16,50
54,102,17,50
55,102,18,0
56,102,19,0
57,103,1,25
58,103,2,0
59,103,3,25
60,103,4,-25
61,103,5,50
62,103,6,25
63,103,7,50
64,103,8,0
65,103,9,0
66,103,10,50
67,103,11,50
68,103,12,25
69,103,13,-25
70,103,14,0
71,103,15,0
72,103,16,0
73,103,17,0
74,103,18,50
75,103,19,0
76,104,1,0
77,104,2,25
78,104,3,0
79,104,4,-25
80,104,5,50
81,104,6,0
82,104,7,50
83,104,8,50
84,104,9,0
85,104,10,0
86,104,11,50
87,104,12,25
88,104,13,-25
89,104,14,50
90,104,15,0
91,104,16,50
92,104,17,0
93,104,18,0
94,104,19,0
95,105,1,25
96,105,2,0
97,105,3,0
98,105,4,-25
99,105,5,50
100,105,6,0
101,105,7,50
102,105,8,25
103,105,9,25
104,105,10,0
105,105,11,50
106,105,12,25
107,105,13,-25
108,105,14,25
109,105,15,0
110,105,16,50
111,105,17,25
112,105,18,0
113,105,19,0
114,106,1,0
115,106,2,25
116,106,3,0
117,106,4,25
118,106,5,0
119,106,6,25
120,106,7,50
121,106,8,25
122,106,9,0
123,106,10,25
124,106,11,50
125,106,12,0
126,106,13,-25
127,106,14,50
128,106,15,0
129,106,16,50
130,106,17,0
131,106,18,0
132,106,19,0
133,107,1,50
134,107,2,-25
135,107,3,0
136,107,4,50
137,107,5,50
138,107,6,0
139,107,7,0
140,107,8,25
141,107,9,0
142,107,10,50
143,107,11,50
144,107,12,0
145,107,13,0
146,107,14,0
147,107,15,0
148,107,16,25
149,107,17,50
150,107,18,-25
151,107,19,0
152,108,1,50
153,108,2,0
154,108,3,50
155,108,4,50
156,108,5,25
157,108,6,-25
158,108,7,0
159,108,8,0
160,108,9,0
161,108,10,0
162,108,11,0
163,108,12,0
164,108,13,0
165,108,14,-25
166,108,15,50
167,108,16,25
168,108,17,50
169,108,18,50
170,108,19,0
171,109,1,50
172,109,2,0
173,109,3,25
174,109,4,0
175,109,5,50
176,109,6,0
177,109,7,0
178,109,8,0
179,109,9,25
180,109,10,-25
181,109,11,50
182,109,12,0
183,109,13,50
184,109,14,0
185,109,15,0
186,109,16,25
187,109,17,50
188,109,18,-25
189,109,19,25
190,110,1,0
191,110,2,25
192,110,3,-25
193,110,4,25
194,110,5,0
195,110,6,50
196,110,7,50
197,110,8,25
198,110,9,0
199,110,10,0
200,110,11,0
201,110,12,0
202,110,13,0
203,110,14,50
204,110,15,-25
205,110,16,25
206,110,17,0
207,110,18,50
208,110,19,50
209,111,1,25
210,111,2,50
211,111,3,0
212,111,4,50
213,111,5,-25
214,111,6,25
215,111,7,0
216,111,8,0
217,111,9,25
218,111,10,-25
219,111,11,0
220,111,12,0
221,111,13,25
222,111,14,25
223,111,15,50
224,111,16,50
225,111,17,-25
226,111,18,50
227,111,19,0
247,113,1,0
248,113,2,0
249,113,3,-25
250,113,4,25
251,113,5,50
252,113,6,50
253,113,7,50
254,113,8,0
255,113,9,0
256,113,10,0
257,113,11,0
258,113,12,0
259,113,13,25
260,113,14,50
261,113,15,-25
262,113,16,0
263,113,17,50
264,113,18,50
265,113,19,0
266,114,1,0
267,114,2,50
268,114,3,25
269,114,4,50
270,114,5,-25
271,114,6,0
272,114,7,0
273,114,8,25
274,114,9,25
275,114,10,25
276,114,11,0
277,114,12,0
278,114,13,0
279,114,14,25
280,114,15,50
281,114,16,50
282,114,17,-25
283,114,18,25
284,114,19,0
285,115,1,0
286,115,2,25
287,115,3,-25
288,115,4,0
289,115,5,0
290,115,6,50
291,115,7,50
292,115,8,25
293,115,9,25
294,115,10,0
295,115,11,25
296,115,12,0
297,115,13,25
298,115,14,50
299,115,15,-25
300,115,16,0
301,115,17,25
302,115,18,50
303,115,19,0
304,116,1,-25
305,116,2,50
306,116,3,25
307,116,4,50
308,116,5,-25
309,116,6,0
310,116,7,25
311,116,8,50
312,116,9,0
313,116,10,0
314,116,11,25
315,116,12,25
316,116,13,25
317,116,14,0
318,116,15,50
319,116,16,50
320,116,17,-25
321,116,18,0
322,116,19,0
323,117,1,25
324,117,2,50
325,117,3,50
