SkillId,SkillTypeId,SkillTargetTypeId,Name,Identifier,JapaneseName,Description,MPCost,MPCostTypeId,DamageTypeId,AttackTypeId,DamageFamilyId,SkillStatEffectId,DamageLevelId,CalculationType,Priority,WisdomMin,WisdomMax,DamageMin,DamageMax,NumberOfHitsMin,NumberOfHitsMax,Magnification,CorrectionMin,CorrectionMax,StatusChanceMin,StatusChanceMax,Notes
44,3,3,Accelerate,accelerate,ピオラ,Greatly increases the agility of a single ally for 4 to 7 turns.,3,1,,,,5,,Status,200,,,,,1,1,,,,100.000,100.000,Increases agility 1.8x. Cannot be stacked.
45,3,4,Acceleratle,acceleratle,ピオリム,Increases the agility of all allies for 4 to 7 turns.,4,1,,,,5,,Status,200,,,,,1,1,,,,100.000,100.000,Increases agility 1.4x. Can be stacked once.
83,1,1,Anchorman,anchorman,アンカーナックル,Acts after everyone else to inflict extreme impact damage on the enemy.,15,1,,2,,,4,Attack,200,,,,,1,1,1.500,0.000,0.000,,,
96,1,1,Assassin's Stab,assassins-stab,アサシンアタック,Damages a single enemy and occasionally causes instant death.,8,1,19,,,,,Attack,200,,,,,1,1,1.000,0.000,0.000,,,
89,1,1,Attack Attacker,attack-attacker,やいばくだき,Damages a single enemy and occasionally lowers its attack for 2 to 5 turns.,4,1,,,,2,,Attack,200,,,,,1,1,1.000,0.000,0.000,,,
192,1,2,Bad Hand,bad-hand,アビスハンド,"Inflicts outrageous dark-elemental damage on all enemies. The higher the user's level, the greater the damage that will be inflicted.",52,1,,,,,5,Level,500,,,150,0,1,1,1.500,10.000,10.000,,,
14,1,2,Bang,bang,イオ,Inflicts minor explosive spell damage on all enemies.,5,1,5,4,,,1,Spell,50,50,499,20,80,1,1,,1.000,1.000,,,
77,1,1,Beast Tamer,beast-tamer,けもの斬り,Inflicts heavy slashing damage on monsters in the beast family.,4,1,,1,4,,,Attack,165,,,,,1,1,1.000,0.600,2.000,,,
191,1,2,Big Banga,big-banga,ビッグバン,"Inflicts outrageous explosive damange on all enemies. The higher the user's level, the greater the damage that will be inflicted.",36,1,,,,,5,Level,500,,,150,0,1,1,1.500,10.000,10.000,,,
129,1,2,Black Breath,black-breath,やみの息,Inflicts major dark-elemental breath damage on all enemies and occasionally prevents them from casting spells for 2 to 5 turns,22,1,9,3,,,3,Damage,200,,,100,180,1,1,,,,,,
128,1,2,Blessed Breath,blessed-breath,ひかりの息,Inflicts major light-elemental breath damage on all enemies and occasionally confuses them for 2 to 5 turns,22,1,8,3,,,3,Damage,200,,,100,180,1,1,,,,,,
36,1,2,Blightsplitter,blightsplitter,暗黒斬,Inflicts medium dark-elemental slashing damage on all enemies.,15,1,9,1,,,2,Attack,250,,,,,1,1,1.200,0.000,0.000,,,
39,3,1,Blunt,blunt,ヘナトス,"Greatly decreases the attack of a single enemy for 2 to 5 turns. The higher the caster's wisdom, the more likely the spell is to succeed.",6,1,,,,2,,Status,200,,,,,1,1,,,,80.000,100.000,
15,1,2,Boom,boom,イオラ,Inflicts medium explosive spell damage on all enemies.,12,1,5,4,,,2,Spell,100,100,699,60,160,1,1,,1.000,1.000,,,
198,1,2,Boulder Toss,boulder-toss,がんせきおとし,"Inflicts extreme earth-elemental damage on all enemies. The higher the user's level, the greater the damage that will be inflicted.",36,1,,,,,4,Level,400,,,120,0,1,1,1.000,10.000,10.000,,,
174,3,5,Bounce,bounce,マホカンタ,Reflects most spells back at the caster for 4 to 7 turns.,32,1,,4,,,,Status,500,,,,,1,1,,,,100.000,100.000,
110,3,4,Brake Wind,brake-wind,ぎゃくふう,Reflects breath attacks back at the enemy. Protects all allies once only.,10,1,,3,,,,Status,400,,,,,1,1,,,,100.000,100.000,
73,1,2,Brightsplitter,brightsplitter,閃光斬,Inflicts minor light-elemental slashing damage on all enemies.,15,1,8,1,,,1,Attack,250,,,,,1,1,1.200,0.000,0.000,,,
40,3,3,Buff,buff,スカラ,Greatly increases the defence of a single ally for 4 to 7 turns.,3,1,,,,3,,Status,200,,,,,1,1,,,,100.000,100.000,
132,3,2,Burning Breath,burning-breath,やけつく息,Lets out an exhalation of immobilisation that paralyses all enemies for 2 to 5 turns,4,1,16,3,,,,Status,200,,,,,1,1,,,,40.000,40.000,
187,1,2,Butterfly Bop,butterfly-bop,アゲハ乱舞,"A dance that summons countless butterflies from the aether to attack all enemies. The higher the user's agility, the greter the damage that will be inflicted.",15,1,,5,,,,Stat-Agi,400,,,,,1,1,,0.188,0.213,,,
126,1,2,C-C-Cold Breath,c-c-cold-breath,かがやく息,Inflicts extreme ice-elemental breath damage on all enemies.,30,1,6,3,,,4,Damage,400,,,198,217,1,1,,,,,,
124,1,2,Chilly Breath,chilly-breath,こおりの息,Inflicts medium ice-elemental breath damage on all enemies.,6,1,6,3,,,2,Damage,100,,,37,48,1,1,,,,,,
34,2,4,Cock-a-Doodle-Doo,cock-a-doodle-doo,ザメハ,Cures all allies of sleep.,2,1,,,,,,Status,50,,,,,1,1,,,,100.000,100.000,
91,1,1,Confusion Attack,confusion-attack,こんらんこうげき,Damages a single enemy and occasionally confuses it for 2 to 5 turns.,4,1,14,,,,,Attack,200,,,,,1,1,1.000,0.000,0.000,,,
123,1,2,Cool Breath,cool-breath,つめたい息,Inflicts minor ice-elemental breath damage on all enemies.,3,1,6,3,,,1,Damage,50,,,16,22,1,1,,,,,,
16,1,1,Crack,crack,ヒャド,Inflicts minor ice-elemental spell damage on a single enemy.,3,1,6,4,,,1,Spell,50,50,499,25,125,1,1,,1.000,1.000,,,
17,1,2,Crackle,crackle,ヒャダルコ,Inflicts medium ice-elemental spell damage on all enemies.,12,1,6,4,,,2,Spell,100,100,699,40,160,1,1,,1.000,1.000,,,
12,1,2,Crag,crag,ジバリア,"Inflicts minor earth-elemental spell damage on all enemies, but not until the following round.",5,1,4,4,,,1,Spell,50,50,499,25,85,1,1,,1.000,1.000,,,
13,1,2,Craggle,craggle,ジバリカ,"Inflicts medium earth-elemental spell damage on all enemies, but not until the following round.",12,1,4,4,,,2,Spell,100,100,699,50,160,1,1,,1.000,1.000,,,
37,3,1,Critical Meltdown,critical-meltdown,会心封じ,Prevents a single enemy from inflicting hits for 4 to 7 turns.,6,1,,,,,,Status,300,,,,,1,1,,,,80.000,80.000,
53,3,2,Dazzle,dazzle,マヌーサ,"Bedazzles all enemies for 2 to 5 turns. The higher the caster's wisdom, the more likely the spell is to succeed.",3,1,,,,,,Status,200,,,,,1,1,,,,60.000,80.000,
108,3,2,Dazzleflash,dazzleflash,まぶしい光,Unleashes a blinding light that lowers the accuracy of enemy attacks for 2 to 5 turns.,2,1,11,,,12,,Status,200,,,,,1,1,,,,80.000,80.000,
186,3,2,Death Dance,death-dance,死の踊り,A dance that kills all enemies instantly.,6,1,,5,,,,,250,,,,,1,1,,,,,,
46,3,1,Decelerate,decelerate,ボミエ,"Greatly decreases the agility of a single enemy for 4 to 7 turns. The higher the caster's wisdom, the more likely the spell is to succeed.",3,1,,,,6,,Status,200,,,,,1,1,,,,60.000,80.000,
47,3,2,Deceleratle,deceleratle,ボミオス,"Decreases the agility of all enemies for 4 to 7 turns. The higher the caster's wisdom, the more likely the spell is to succeed.",4,1,,,,6,,Status,200,,,,,1,1,,,,60.000,80.000,
130,3,5,Deep Breath,deep-breath,息をすいこむ,"Inhales long and deep, raising the damage inflicted by the user's next breath attack.",0,1,,3,,,,,200,,,,,1,1,,,,,,
33,2,4,Defuddle,defuddle,キアラル,Cures all allies of confusion.,2,1,,,,,,Status,50,,,,,1,1,,,,100.000,100.000,
79,1,1,Demon Demeaner,demon-demeaner,あくま斬り,Inflicts heavy slashing damage on monsters in the demon family.,4,1,,1,6,,,Attack,165,,,,,1,1,1.000,0.600,2.000,,,
49,3,1,Dim,dim,フール,"Greatly decreases the wisdom of a single enemy for 4 to 7 turns. The higher the caster's wisdom, the more likely the spell is to succeed.",3,1,,,,8,,Status,200,,,,,1,1,,,,60.000,80.000,
201,3,2,Disruptive Wave,disruptive-wave,いてつくはどう,Removes most beneficial effects from all enemies.,60,1,,,,,,Status,500,,,,,1,1,,,,100.000,100.000,
116,3,5,Dodgy Dance,dodgy-dance,みかわしきゃく,Raises the user's evasion for 4 to 7 turns.,1,1,,5,,9,,Status,200,,,,,1,1,,,,100.000,100.000,
75,1,1,Dragon Slash,dragon-slash,ドラゴン斬り,Inflicts heavy slashing damage on monsters in the dragon family.,4,1,,1,2,,,Attack,165,,,,,1,1,1.000,0.600,2.000,,,
56,3,1,Drain Magic,drain-magic,マホトラ,Aborbs some MP from a single enemy.,0,1,,,,,,,200,,,,,1,1,,,,,,
145,1,2,Earthsplitter,earthsplitter,大地斬,Inflicts medium earth-elemental slashing damage on all enemies.,15,1,4,1,,,2,Attack,250,,,,,1,1,1.200,0.000,0.000,,,
183,1,2,Electric Boogie,electric-boogie,いなずまダンス,"A dance that inflicts extreme electrical damage on all enemies. The higher the user's level, the greater the damage that will be inflicted.",30,1,,5,,,4,Level,400,,,0,0,1,1,2.000,50.000,50.000,,,
171,1,7,Fan Dango,fan-dango,おうぎのまい,"A dance that damages enemies at random, 3 or 4 times in total. The higher the user's agility, the greater the damage that will be inflicted.",8,1,,5,,,,Stat-Agi,400,,,,,3,4,,0.188,0.213,,,
118,1,2,Fire Breath,fire-breath,火の息,Inflicts minor fire-elemental breath damage on all enemies.,3,1,1,3,,,1,Damage,50,,,8,18,1,1,,,,,,
55,3,2,Fizzle,fizzle,マホトーン,"Prevents all enemies from casting spells for 4 to 7 turns. The higher the caster's wisdom, the more likely the spell is to succeed.",3,1,12,,,,,Status,250,,,,,1,1,,,,60.000,80.000,
120,1,2,Flame Breath,flame-breath,火炎の息,Inflicts medium fire-elemental breath damage on all enemies.,6,1,1,3,,,2,Damage,100,,,31,43,1,1,,,,,,
