TalentId,Name,Identifier,JapaneseName,IsEggOnly
202,Aamon,aamon,エビルプリースト,False
209,Agent Provocateur,agent-provocateur,カオス,False
64,Agility Booster I,agility-booster-i,すばやさアップ1,False
65,Agility Booster II,agility-booster-ii,すばやさアップ2,False
122,Agility Booster III,agility-booster-iii,すばやさアップ3,False
123,Agility Booster IV,agility-booster-iv,すばやさアップ4,False
91,Air Fryer,air-fryer,風炎の剣技,False
201,Airhead,airhead,エスパー,False
211,Altruist,altruist,守護神,False
142,Anaesthetist,anaesthetist,スタン,False
79,Antimagic Avoider,antimagic-avoider,封じガード,False
113,Antimagician,antimagician,アンチスペル,False
32,Aquapothecary,aquapothecary,みずげい,False
44,Assassin,assassin,アサシン,False
60,Attack Booster I,attack-booster-i,攻撃力アップ1,False
61,Attack Booster II,attack-booster-ii,攻撃力アップ2,False
118,Attack Booster III,attack-booster-iii,攻撃力アップ3,False
119,Attack Booster IV,attack-booster-iv,攻撃力アップ4,False
205,Bad Breather,bad-breather,息じごく,False
9,Bang Afficionado,bang-afficionado,爆発の心,False
10,Bang Virtuoso,bang-virtuoso,爆発の極意,False
72,Bang Ward,bang-ward,爆発ガード,False
206,Baramos,baramos,バラモス,False
223,Barbarus,barbarus,闇竜バルボロス,False
89,Barricade,barricade,てっぺき,False
78,Bedazzlement Blocker,bedazzlement-blocker,幻惑ガード,False
228,Bishop Ladja,bishop-ladja,ゲマ,False
41,Blade Maven,blade-maven,剣術,False
19,Blazer,blazer,火炎,False
143,Blighter,blighter,暗闇,False
127,Blowhard,blowhard,グランドブレスSP,False
34,Blowy Slasher,blowy-slasher,グリーンソード,False
30,Blusterer,blusterer,つむじ風,False
207,Bobby-Dazzler,bobby-dazzler,カリスマ,False
170,Bombshell,bombshell,ボマー,False
111,Breath Taker,breath-taker,アンチブレス,False
183,Breath Worker,breath-worker,ゴッドブレス,False
230,Calasmos,calasmos,邪神ニズゼルファ,False
184,Charge Leader,charge-leader,ヒーロー,False
112,Charmer,charmer,みわく,False
193,Cheesy Grin,cheesy-grin,もぐもぐスマイル,False
133,Chiaroscuro Shield,chiaroscuro-shield,白黒ガードSP,False
110,Chilly Receptionist,chilly-receptionist,吹雪,False
109,Choreographer,choreographer,エンターテイナー,False
212,Cleric,cleric,ゆうき,False
152,Cold Snapper,cold-snapper,アイスバーン,False
84,Confusion Controller,confusion-controller,こんらんガード,False
194,Cool Customer,cool-customer,つめたいまなざし,False
233,Corvus,corvus,堕天使エルギオス,False
11,Crack Afficionado,crack-afficionado,氷結の心,False
12,Crack Virtuoso,crack-virtuoso,氷結の極意,False
73,Crack Ward,crack-ward,氷結ガード,False
7,Crag Afficionado,crag-afficionado,地の心,False
8,Crag Virtuoso,crag-virtuoso,地の極意,False
71,Crag Ward,crag-ward,地ガード,False
96,Cupid,cupid,キューピット,False
154,Cure-All,cure-all,全体回復,False
42,Cutpurse,cutpurse,ぬすっと,False
134,Cyclone Shield,cyclone-shield,爆風ガードSP,False
22,Dancer,dancer,ダンサー,False
29,Dark Artist,dark-artist,悪魔のささやき,False
153,Dark Horse,dark-horse,ダークホース,False
86,Death Defier,death-defier,即死ガード,False
77,Debilitation Ducker,debilitation-ducker,弱体化ガード,False
