TraitId,Name,Identifier,JapaneseName,Description,HPBonus,MPBonus,AttackBonus,DefenceBonus,AgilityBonus,WisdomBonus,Notes
69,Absorbent Touch,absorbent-touch,マホトラ攻撃,Regular attacks sometimes absorb a portion of the enemy's MP.,,,,,,,
40,Ace Evader,ace-evader,みかわしアップ大,Makes it somewhat easier to avoid enemy attacks.,,,,,,,
100,Adrenaline Rush,adrenaline-rush,ファイターズハイ,Greatly increases the attack after inflicting a critical hit.,,,,,,,
77,Agent of Chaos,agent-of-chaos,きょうせんし,Always attacks an enemy when the monster is confused. Successful strikes inflict critical hits.,,,,,,,
160,Agility +12,agility-12,すばやさ+12,Raises agility by 12.,,,,,12,,
161,Agility +16,agility-16,かしこさ+16,Raises agility by 16.,,,,,16,,
211,Agility +2,agility-2,すばやさ+2,Raises agility by 2.,,,,,2,,
206,Agility +20,agility-20,すばやさ+20,Raises agility by 20.,,,,,20,,
162,Agility +24,agility-24,すばやさ+24,Raises agility by 24.,,,,,24,,
213,Agility +30,agility-30,すばやさ+30,Raises agility by 30.,,,,,30,,
163,Agility +32,agility-32,,Raises agility by 32.,,,,,32,,
214,Agility +36,agility-36,すばやさ+36,Raises agility by 36.,,,,,36,,
158,Agility +4,agility-4,すばやさ+4,Raises agility by 4.,,,,,4,,
164,Agility +40,agility-40,,Raises agility by 40.,,,,,40,,
165,Agility +48,agility-48,すばやさ+48,Raises agility by 48.,,,,,48,,
166,Agility +64,agility-64,,Raises agility by 64.,,,,,64,,
159,Agility +8,agility-8,すばやさ+8,Raises agility by 8.,,,,,8,,
185,Antitoxidant,antitoxidant,,Slightly increases resistance to poison and severe poison.,,,,,,,Increases resistance by 10%.
142,Attack +12,attack-12,攻撃力+12,Raises attack by 12.,,,12,,,,
143,Attack +16,attack-16,攻撃力+16,Raises attack by 16.,,,16,,,,
226,Attack +2,attack-2,攻撃力+2,Raises attack by 2.,,,2,,,,
222,Attack +20,attack-20,攻撃力+20,Raises attack by 20.,,,20,,,,
144,Attack +24,attack-24,攻撃力+24,Raises attack by 24.,,,24,,,,
228,Attack +30,attack-30,攻撃力+30,Raises attack by 30.,,,30,,,,
145,Attack +32,attack-32,,Raises attack by 32.,,,32,,,,
229,Attack +36,attack-36,攻撃力+36,Raises attack by 36.,,,36,,,,
140,Attack +4,attack-4,攻撃力+4,Raises attack by 4.,,,4,,,,
146,Attack +40,attack-40,,Raises attack by 40.,,,40,,,,
147,Attack +48,attack-48,攻撃力+48,Raises attack by 48,,,48,,,,
148,Attack +64,attack-64,,Raises attack by 64.,,,64,,,,
141,Attack +8,attack-8,攻撃力+8,Raises attack by 8.,,,8,,,,
93,Attacking Impulse,attacking-impulse,とうそうほんのう,Increases damage inflicted when HP drop to 1/2.,,,,,,,
50,Auto-Cadabra,auto-cadabra,自動ＭＰ回復,Restores a small amount of MP after each action.,,,,,,,
49,Auto-Restora,auto-restora,自動ＨＰ回復,Restores a small amount of HP after each action.,,,,,,,
247,Bang Ward,bang-ward,,Slightly increases resistance to explosion attacks.,,,,,,,Increases resistance by 10%.
26,Bangmeister,bangmeister,爆発のコツ,Increases the potency of explosion attacks and decreases their MP consumption.,,,,,,,Increases damage by 15%.
52,Beastsbane,beastsbane,魔獣キラー,Increases damage inflicted on monsters from the beast family and slightly lowers all resistances.,,,,,,,Increases damage by 100%. Lowers all resistances by 5%.
88,Benefaction,benefaction,最後の息吹,"Massively increases the attack, defence, agility and wisdom of allies when a killer blow is received.",,,,,,,
73,Big Bully,big-bully,ラージキラー,Increases damage inflicted on L-size monsters,,,,,,,Increases damage by 20%.
82,Bigger Upper,bigger-upper,おだてじょうず,"Extends the duration of skills that raise the strength, defence, agility or wisdom of allies to 5 turns. In addtion, randomly grants invincibility, the ability to reflect spells or breath attacks, or raises evasion.",,,,,,,
243,Bossesbane,bossesbane,？？？キラー,Increases damage inflicted on monsters from the ??? family and slightly lowers all resistances.,,,,,,,Increases damage by 100%. Lowers all resistances by 5%.
51,Castslasher,castslasher,消費MP半分,Reduces MP consumption by 1/2.,,,,,,,
189,Clear Thinker,clear-thinker,,Slightly increases resistance to confusion.,,,,,,,Increases resistance by 10%.
84,Close Scraper,close-scraper,くじけぬ心,Sometimes allows the monster to survive at 1 HP after suffering an attack that would otherwise kill it.,,,,,,,
97,Collective Punishment,collective-punishment,全体攻撃,Attacks that do more damage as the attack attribute increases will strike all enemies insetead of a single target.,,,,,,,
65,Confusing Touch,confusing-touch,こんらん攻撃,Regular attacks sometimes confuse the enemy.,,,,,,,
244,Crack Ward,crack-ward,,Slightly increases resistance to ice-elemental attacks.,,,,,,,Increases resistance by 10%.
27,Crackmeister,crackmeister,氷結のコツ,Increases the potency of ice-elemental attacks and decreases their MP consumption.,,,,,,,Increases damage by 15%.
248,Crafty Banger,crafty-banger,,Slightly increases the damage inflicted by explosion attacks.,,,,,,,Reduces enemy resistance by 10%.
245,Crafty Cracker,crafty-cracker,,Slightly increases the damage inflicted by ice-elemental attacks.,,,,,,,Reduces enemy resistance by 10%.
258,Crafty Cragger,crafty-cragger,,Slightly increases the damage inflicted by earth-elemental attacks.,,,,,,,Reduces enemy resistance by 10%.
121,Crafty Devil,crafty-devil,全ガードブレイク,Makes it moderately easier to inflict status ailments on the enemy.,,,,,,,Reduces enemy resistance by 25%.
255,Crafty Frizzer,crafty-frizzer,,Slightly increases the damage inflicted by fire-elemental attacks.,,,,,,,Reduces enemy resistance by 10%.
256,Crafty Sizzer,crafty-sizzer,,Slightly increases the damage inflicted by light-elemental attacks.,,,,,,,Reduces enemy resistance by 10%.
254,Crafty Splasher,crafty-spalsher,,Slightly increases the damage inflicted by water-elemental attacks.,,,,,,,Reduces enemy resistance by 10%.
261,Crafty Woosher,,,Slightly increases the damage inflicted by wind-elemental attacks.,,,,,,,Reduces enemy resistance by 10%.
250,Crafty Zammer,crafty-zammer,,Slightly increases the damage inflicted by dark-elemental attacks.,,,,,,,Reduces enemy resistance by 10%.
259,Crafty Zapper,crafty-zapper,,Slightly increases the damage inflicted by electrical attacks.,,,,,,,Reduces enemy resistance by 10%.
257,Crag Ward,crag-ward,,Slightly increases resistance to earth-elemental attacks.,,,,,,,Increases resistance by 10%.
25,Cragmeister,cragmeister,地のコツ,Increases the potency of earth-elemental attacks and decreases their MP consumption.,,,,,,,Increases damage by 15%.
238,Critical Mastermind,critical-mastermind,超魔力暴走率アップ,Makes it much easier to cast critical spells.,,,,,,,
45,Critical Moment,critical-moment,ピンチで会心,"Makes it easier to inflict critical hits when HP drops to 1/2, and even more so when HP drops to 1/4.",,,,,,,
44,Critical Sensation,critical-sensation,超会心率アップ,Makes it much easier to inflict critical hits.,,,,,,,
46,Critical Theorist,critical-theorist,魔力暴走率アップ大,Makes it somewhat easier to cast critical spells.,,,,,,,
43,Critical Triumph,critical-triumph,会心率アップ大,Makes it somewhat easier to inflict critical hits.,,,,,,,
67,Deadly Touch,deadly-touch,ザキ攻撃,Regular attacks sometimes kill the enemy instantly.,,,,,,,
195,Death Defier,death-defier,,Slightly increases resistance to instant death.,,,,,,,Increases resistance by 10%.
230,Decontaminate,decontaminate,医術士,"Sometimes cures allies of sleep, confusion, poison, severe poison, and paralysis durin battle.",,,,,,,
151,Defence +12,defence-12,,Raises defence by 12.,,,,12,,,
152,Defence +16,defence-16,守備力+16,Raises defence by 16.,,,,16,,,
153,Defence +24,defence-24,守備力アップ+24,Raises defence by 24.,,,,24,,,
154,Defence +32,defence-32,守備力アップ+32,Raises defence by 32.,,,,32,,,
149,Defence +4,defence-4,守備力アップ+4,Raises defence by 4.,,,,4,,,
155,Defence +40,defence-40,守備力+40,Raises defence by 40.,,,,40,,,
156,Defence +48,defence-48,守備力アップ+48,Raises defence by 48.,,,,48,,,
215,Defence +60,defence-60,守備力アップ+60,Raises defence by 60.,,,,60,,,
157,Defence +64,defence-64,,Raises defence by 64.,,,,64,,,
216,Defence +72,defence-72,守備力アップ+72,Raises defence by 72.,,,,72,,,
150,Defence +8,defence-8,守備力+8,Raises defence by 8.,,,,8,,,
217,Defence +96,defence-96,守備力アップ+96,Raises defence by 96.,,,,96,,,
94,Defensive Impulse,defensive-impulse,ぼうえいほんのう,Reduces damage received when HP drop to 1/2.,,,,,,,
240,Demonsbane,demonsbane,悪魔キラー,Increases damage inflicted on monsters from the demon family and slightly lowers all resistances.,,,,,,,Increases damage by 100%. Lowers all resistances by 5%.
48,Desperate Measures,desperate-measures,会心かんぜんガード,Negates all damage suffered from critical hits and critical spells.,,,,,,,
81,Detox,detox,セラピー,"Sometimes cures allies of poison, severe poison and paralysis during battle.",,,,,,,
42,Dodge Denier,dodge-denier,みかわし無効,Ensures the enemy cannot avoid attacks.,,,,,,,
59,Dragonsbane,dragonsbane,ドラゴンキラー,Increases damage inflicted on monsters from the dragon family and slightly lowers all resistances.,,,,,,,Increases damage by 100%. Lowers all resistances by 5%.
203,Drain Blocker,drain-blocker,,Slightly increases resistance to MP absorption.,,,,,,,Increases resistance by 10%.
99,Echonomist,echonomist,やまびこ,Sometimes casts the same spell twice. Consumes slightly more MP than usual.,,,,,,,
95,Evasive Impulse,evasive-impulse,かいひほんのう,Sometimes increases evasion and greatly increases agility during battle when HP has dropped to 1/2. Only activates once per battle.,,,,,,,
193,Fidget,fidget,,Slightly increases resistance to paralysis.,,,,,,,Increases resistance by 10%.
246,Frizz Ward,frizz-ward,,Slightly increases resistance to fire-elemental attacks.,,,,,,,Increases resistance by 10%.
